ข้อ,โชว์โจทย์: สารตั้งต้น (ซ้าย),หาใน Shuffle Pool: พอลิเมอร์ (ขวา),The Lock (บังคับเลือก)
1,n CH2=CH2,[-CH2-CH2-]n,💧 เติม (Addition)
2,n CH2=CH-R (แบบ Free-Radical),[-CH2-CH(R)-]n,💧 เติม (Addition)
3,n CH2=CH-R (แบบ Cationic),[-CH2-CH(R)-]n,💧 เติม (Addition)
4,n CH2=CH-R (แบบ Anionic),[-CH2-CH(R)-]n,💧 เติม (Addition)
5,n CH2=CH2 (แบบ Coordination),[-CH2-CH2-]n,💧 เติม (Addition)
6,วงแหวน Cyclic ester/ether (ROP),[-O-(CH2)4-CO-]n,💧 เติม (Addition)
7,n HO-R-OH + n HOOC-R'-COOH,[-O-R-OCO-R'-CO-]n,☁️ ควบแน่น (Condensation)
8,n H2N-R-NH2 + n HOOC-R'-COOH,[-NH-R-NH-CO-R'-CO-]n,☁️ ควบแน่น (Condensation)
9,n HO-R-OH + n HOOC-R'-COOH,[-O-R-OCO-R'-CO-]n,☁️ ควบแน่น (Condensation)
10,n HO-R-OH + n OCN-R'-NCO,[-O-R-O-CO-NH-R'-NH-CO-]n,☁️ ควบแน่น (Condensation)
11,n H2N-R-NH2 + n OCN-R'-NCO,[-NH-R-NH-CO-NH-R'-NH-CO-]n,☁️ ควบแน่น (Condensation)
12,n Phenol (วงเบนซีน-OH) + n HCHO,[-Phenol-CH2-]n,☁️ ควบแน่น (Condensation)
13,วงแหวนสามเหลี่ยม Epoxy (ROP),[-CH2-CH(OH)-O-]n,💧 เติม (Addition)
14,n HO-R-OH + n Cl-CO-R'-CO-Cl,[-O-R-O-CO-R'-CO-]n,☁️ ควบแน่น (Condensation)
15,n HO-R-OH + n Cl-SO2-R'-SO2-Cl,[-O-R-O-SO2-R'-SO2-]n,☁️ ควบแน่น (Condensation)
16,n (HO-SiR2-OH) + n (HO-SiR2-OH),[-Si(R2)-O-]n,☁️ ควบแน่น (Condensation)
17,n CH2=CH-CH=CH2,[-CH2-CH=CH-CH2-]n,💧 เติม (Addition)
18,n HO-CH2-CH2-OH + n HOOC-Ph-COOH,[-O-CH2-CH2-O-CO-Ph-CO-]n,☁️ ควบแน่น (Condensation)
19,n CH2=CH-Cl,[-CH2-CH(Cl)-]n,💧 เติม (Addition)
20,n CH2=C(CH3)-COOCH3,[-CH2-C(CH3)(COOCH3)-]n,💧 เติม (Addition)
