ข้อ,โชว์โจทย์: พอลิเมอร์ (ขวา),หาใน Shuffle Pool: สารตั้งต้น (ซ้าย),The Lock (บังคับเลือก)
"1, 5",[-CH2-CH2-]n,n CH2=CH2,💧 เติม (Addition)
"2,3,4",[-CH2-CH(R)-]n,n CH2=CH-R,💧 เติม (Addition)
6,[-O-(CH2)4-CO-]n,วงแหวน Cyclic ester/ether,💧 เติม (Addition)
"7, 9",[-O-R-OCO-R'-CO-]n,n HO-R-OH + n HOOC-R'-COOH,☁️ ควบแน่น (Condensation)
8,[-NH-R-NH-CO-R'-CO-]n,n H2N-R-NH2 + n HOOC-R'-COOH,☁️ ควบแน่น (Condensation)
10,[-O-R-O-CO-NH-R'-NH-CO-]n,n HO-R-OH + n OCN-R'-NCO,☁️ ควบแน่น (Condensation)
11,[-NH-R-NH-CO-NH-R'-NH-CO-]n,n H2N-R-NH2 + n OCN-R'-NCO,☁️ ควบแน่น (Condensation)
12,[-Phenol-CH2-]n,n Phenol (วงเบนซีน-OH) + n HCHO,☁️ ควบแน่น (Condensation)
13,[-CH2-CH(OH)-O-]n,วงแหวนสามเหลี่ยม Epoxy (ROP),💧 เติม (Addition)
14,[-O-R-O-CO-R'-CO-]n,n HO-R-OH + n Cl-CO-R'-CO-Cl,☁️ ควบแน่น (Condensation)
15,[-O-R-O-SO2-R'-SO2-]n,n HO-R-OH + n Cl-SO2-R'-SO2-Cl,☁️ ควบแน่น (Condensation)
16,[-Si(R2)-O-]n,n (HO-SiR2-OH) + n (HO-SiR2-OH),☁️ ควบแน่น (Condensation)
17,[-CH2-CH=CH-CH2-]n,n CH2=CH-CH=CH2,💧 เติม (Addition)
18,[-O-CH2-CH2-O-CO-Ph-CO-]n,n HO-CH2-CH2-OH + n HOOC-Ph-COOH,☁️ ควบแน่น (Condensation)
19,[-CH2-CH(Cl)-]n,n CH2=CH-Cl,💧 เติม (Addition)
20,[-CH2-C(CH3)(COOCH3)-]n,n CH2=C(CH3)-COOCH3,💧 เติม (Addition)
