ข้อ,โชว์โจทย์: พอลิเมอร์ (ขวา),หาใน Shuffle Pool: สารตั้งต้น (ซ้าย),The Lock (บังคับเลือก)
1,[-CH2-CH2-]n,n CH2=CH2,💧 เติม (Addition)
2,[-CH2-CH(R)-]n,n CH2=CH-R,💧 เติม (Addition)
3,[-O-(CH2)4-CO-]n,วงแหวน Cyclic ester/ether,💧 เติม (Addition)
4,[-O-R-OCO-R'-CO-]n,n HO-R-OH + n HOOC-R'-COOH,☁️ ควบแน่น (Condensation)
5,[-NH-R-NH-CO-R'-CO-]n,n H2N-R-NH2 + n HOOC-R'-COOH,☁️ ควบแน่น (Condensation)
6,[-O-R-O-CO-NH-R'-NH-CO-]n,n HO-R-OH + n OCN-R'-NCO,☁️ ควบแน่น (Condensation)
7,[-NH-R-NH-CO-NH-R'-NH-CO-]n,n H2N-R-NH2 + n OCN-R'-NCO,☁️ ควบแน่น (Condensation)
8,[-Phenol-CH2-]n,n Phenol (วงเบนซีน-OH) + n HCHO,☁️ ควบแน่น (Condensation)
9,[-CH2-CH(OH)-O-]n,วงแหวนสามเหลี่ยม Epoxy (ROP),💧 เติม (Addition)
10,[-O-R-O-CO-R'-CO-]n,n HO-R-OH + n Cl-CO-R'-CO-Cl,☁️ ควบแน่น (Condensation)
11,[-O-R-O-SO2-R'-SO2-]n,n HO-R-OH + n Cl-SO2-R'-SO2-Cl,☁️ ควบแน่น (Condensation)
12,[-Si(R2)-O-]n,n (HO-SiR2-OH) + n (HO-SiR2-OH),☁️ ควบแน่น (Condensation)
13,[-CH2-CH=CH-CH2-]n,n CH2=CH-CH=CH2,💧 เติม (Addition)
14,[-O-CH2-CH2-O-CO-Ph-CO-]n,n HO-CH2-CH2-OH + n HOOC-Ph-COOH,☁️ ควบแน่น (Condensation)
15,[-CH2-CH(Cl)-]n,n CH2=CH-Cl,💧 เติม (Addition)
16,[-CH2-C(CH3)(COOCH3)-]n,n CH2=C(CH3)-COOCH3,💧 เติม (Addition)
