ข้อ,โชว์โจทย์: ชื่อปฏิกิริยา / พอลิเมอร์,หาใน Shuffle Pool: ภาพสมการฉบับเต็ม,The Lock (บังคับเลือก)
1,Addition Polymerization,n CH2=CH2 -> [-CH2-CH2-]n,💧 เติม (Addition)
2,Free-Radical Polymerization,"n CH2=CH-R --(R*, Δ)--> [-CH2-CH(R)-]n",💧 เติม (Addition)
3,Cationic Polymerization,n CH2=CH-R --(H+)--> [-CH2-CH(R)-]n,💧 เติม (Addition)
4,Anionic Polymerization,n CH2=CH-R --(R- / Base)--> [-CH2-CH(R)-]n,💧 เติม (Addition)
5,Coordination (Ziegler-Natta),n CH2=CH2 --(TiCl4/AlR3)--> [-CH2-CH2-]n,💧 เติม (Addition)
6,Ring-Opening Polymerization (ROP),Cyclic ester/ether --(cat.)--> [-O-(CH2)4-CO-]n,💧 เติม (Addition)
7,Step-Growth Polymerization,"n HO-R-OH + n HOOC-R'-COOH --(Δ, -nH2O)--> [-O-R-OCO-R'-CO-]n",☁️ ควบแน่น (Condensation)
8,Polyamide Formation,"n H2N-R-NH2 + n HOOC-R'-COOH --(Δ, -2nH2O)--> [-NH-R-NH-CO-R'-CO-]n",☁️ ควบแน่น (Condensation)
9,Polyester Formation,"n HO-R-OH + n HOOC-R'-COOH --(Δ, -2nH2O)--> [-O-R-OCO-R'-CO-]n",☁️ ควบแน่น (Condensation)
10,Polyurethane Formation,n HO-R-OH + n OCN-R'-NCO --(cat.)--> [-O-R-O-CO-NH-R'-NH-CO-]n,☁️ ควบแน่น (Condensation)
11,Polyurea Formation,n H2N-R-NH2 + n OCN-R'-NCO --(cat.)--> [-NH-R-NH-CO-NH-R'-NH-CO-]n,☁️ ควบแน่น (Condensation)
12,Phenol-Formaldehyde Resin,n Phenol + n HCHO --(acid/base)--> [-Phenol-CH2-]n,☁️ ควบแน่น (Condensation)
13,Epoxy Polymerization,Epoxy Ring --(cat.)--> [-CH2-CH(OH)-O-]n,💧 เติม (Addition)
14,Polycarbonate Formation,"n HO-R-OH + n Cl-CO-R'-CO-Cl --(base, -2nHCl)--> [-O-R-O-CO-R'-CO-]n",☁️ ควบแน่น (Condensation)
15,Polysulfone Formation,"n HO-R-OH + n Cl-SO2-R'-SO2-Cl --(base, -2nHCl)--> [-O-R-O-SO2-R'-SO2-]n",☁️ ควบแน่น (Condensation)
16,Silicone (Condensation),"n (HO-SiR2-OH) + n (HO-SiR2-OH) --(Δ, -2nH2O)--> [-Si(R2)-O-]n",☁️ ควบแน่น (Condensation)
17,Addition Polymerization of Dienes,n CH2=CH-CH=CH2 --(initiator)--> [-CH2-CH=CH-CH2-]n,💧 เติม (Addition)
18,Poly(ethylene terephthalate),"n HO-CH2-CH2-OH + n HOOC-Ph-COOH --(Δ, -2nH2O)--> [-O-CH2-CH2-O-CO-Ph-CO-]n",☁️ ควบแน่น (Condensation)
19,Poly(vinyl chloride) Formation,n CH2=CH-Cl --(initiator)--> [-CH2-CH(Cl)-]n,💧 เติม (Addition)
20,Poly(methyl methacrylate),n CH2=C(CH3)-COOCH3 --(initiator)--> [-CH2-C(CH3)(COOCH3)-]n,💧 เติม (Addition)
